33.4,3.2,2.38,3.04,3.5,1.07,2.1,2.93,7,4.19,0.105
33.4,3.6,2.65,3.37,3.8,1.06,2.27,3.21,7.56,4.55,0.105
38.1,3.2,2.75,3.51,5.39,1.24,2.83,3.91,10.8,5.66,0.12
38.1,4,3.36,4.29,5.31,1.21,3.31,4.67,12.9,6.63,0.12
42.2,3.6,3.43,4.37,8.2,1.37,3.89,5.38,16.4,7.77,0.133
42.2,5,4.59,5.84,10.3,1.33,4.88,6.96,20.6,9.75,0.133
48.3,3.6,3.97,5.06,12.7,1.59,5.26,7.21,25.4,10.5,0.152
48.3,5,5.34,6.8,16.2,1.54,6.69,9.42,32.3,13.4,0.152
60.3,4,5.55,7.07,28.2,2,9.34,12.7,56.3,18.7,0.189
60.3,5.6,7.55,9.62,36.4,1.94,12.1,16.8,72.7,24.1,0.189
73,5,8.38,10.7,62.1,2.41,17,23.2,124,34,0.229
73,7.1,11.5,14.7,80.7,2.34,22.1,31,161,44.2,0.229
88.9,5.6,11.5,14.7,128,2.95,28.7,38.9,255,57.5,0.279
88.9,8,16,20.3,168,2.87,37.8,52.5,336,75.6,0.279
101.6,5.6,13.3,16.9,195,3.4,38.4,51.7,390,76.9,0.319
101.6,8,18.5,23.5,260,3.32,51.1,70.3,519,102,0.319
114.3,6.4,17,21.7,317,3.82,55.4,74.6,634,111,0.359
114.3,8.8,22.9,29.2,409,3.74,71.5,98.2,817,143,0.359
141.3,6.4,21.3,27.1,618,4.77,87.5,117,1237,175,0.444
141.3,10,32.4,41.2,894,4.66,127,173,1788,253,0.444
168.3,7.1,28.2,36,1170,5.7,139,185,2340,278,0.529
168.3,11,42.7,54.4,1689,5.57,201,273,3379,402,0.529
219.1,8,41.6,53.1,2960,7.47,270,357,5919,540,0.688
219.1,12.5,63.7,81.1,4345,7.32,397,534,8689,793,0.688
273,10,64.9,82.6,7154,9.31,524,692,14308,1048,0.858
273,16,101,129,10707,9.1,784,1058,21414,1569,0.858
323.8,10,77.4,98.6,12147,11.1,750,985,24293,1501,"1,017"
323.8,17.5,132,168,19813,10.8,1224,1644,39626,2448,"1,017"
355.6,10,85.2,109,16223,12.2,912,1195,32447,1825,"1,117"
355.6,12.5,106,135,19852,12.1,1117,1472,39704,2233,"1,117"
